#    lambda_um    Flux_Jy   Sigma_Jy    AOT ident.
      2.98389      1578.05      8.22276      2.00000
      2.98573      1560.61      9.46216      2.00000
      2.98739      1543.68      7.14352      2.00000
      2.98820      1535.73      5.71967      2.00000
      2.99015      1556.29      13.6680      2.00000
      2.99138      1448.35      10.1531      3.00000
      2.99151      1477.86      26.4480      4.00000
      2.99176      1583.29      14.9990      2.00000
      2.99242      1472.98      14.1771      3.00000
      2.99247      1478.83      23.6925      4.00000
      2.99296      1602.03      11.0631      2.00000
      2.99318      1480.07      22.2539      4.00000
      2.99322      1477.34      11.0939      3.00000
      2.99431      1475.34      25.0909      4.00000
      2.99463      1616.25      4.50243      2.00000
      2.99465      1489.22      10.8333      3.00000
      2.99597      1495.04      6.67617      3.00000
      2.99627      1476.77      23.9057      4.00000
      2.99628      1593.55      11.9324      2.00000
      2.99780      1481.64      5.87022      3.00000
      2.99788      1568.88      14.1383      2.00000
      2.99799      1457.70      16.7691      4.00000
      2.99920      1552.62      11.8161      2.00000
      2.99924      1452.16      16.2730      4.00000
      2.99947      1476.01      6.88910      3.00000
      3.00021      1441.66      18.8892      4.00000
      3.00041      1544.21      9.85243      2.00000
      3.00097      1470.09      7.88254      3.00000
      3.00226      1527.34      11.0817      2.00000
      3.00239      1457.24      8.25660      3.00000
      3.00241      1456.14      12.2274      4.00000
      3.00388      1465.69      10.4966      4.00000
      3.00391      1506.63      13.9826      2.00000
      3.00424      1422.31      13.2365      3.00000
      3.00502      1405.40      13.2116      3.00000
      3.00540      1479.21      6.50306      4.00000
      3.00543      1476.91      9.90403      2.00000
      3.00664      1459.95      6.07692      2.00000
      3.00686      1372.87      11.9865      3.00000
      3.00778      1360.54      8.96201      3.00000
      3.00781      1499.21      12.0575      4.00000
      3.00806      1500.37      8.94688      4.00000
      3.00825      1455.15      4.79236      2.00000
      3.00948      1461.51      6.68679      2.00000
      3.01002      1518.55      11.6285      4.00000
      3.01002      1394.04      24.7861      3.00000
      3.01081      1486.96      19.3068      2.00000
      3.01127      1432.27      31.4456      3.00000
      3.01199      1526.60      10.9012      4.00000
      3.01227      1528.55      10.9962      4.00000
      3.01265      1553.65      25.8839      2.00000
      3.01280      1495.65      29.6747      3.00000
      3.01408      1543.02      8.04801      4.00000
      3.01421      1547.99      18.3339      3.00000
